id,name,party,partyLabel,votes,election,electionLabel,ranking
Q6708432,Lynch Maydon,Q9626,Conservative Party (UK),26524,Q3722280,General election 1951,1
Q62858014,David Llewellyn,Q9630,Labour Party (UK),21481,Q3722280,General election 1951,2
Q5258290,Dennis Boles,Q9626,Conservative Party (UK),20613,Q748667,General election 1950,1
Q31123572,Dorothy Archibald,Q9630,Labour Party (UK),17987,Q748667,General election 1950,2
Q4773015,Anthony Marreco,Q622441,Liberal Party (UK),9771,Q748667,General election 1950,3
Q5258290,Dennis Boles,Q9626,Conservative Party (UK),13004,Q918397,General election 1945,1
,Cyril Morgan,Q9630,Labour Party (UK),10539,Q918397,General election 1945,2
Q2527461,Violet Bonham Carter,Q622441,Liberal Party (UK),7910,Q918397,General election 1945,3
Q5258290,Dennis Boles,Q9626,Conservative Party (UK),"",Q7981724,1939 Wells by-election,1
Q4773152,Anthony Muirhead,Q9626,Conservative Party (UK),14898,Q918378,General election 1935,1
,Arnold Hilward Jones,Q622441,Liberal Party (UK),7277,Q918378,General election 1935,2
,William James Waring,Q9630,Labour Party (UK),5716,Q918378,General election 1935,3
Q4773152,Anthony Muirhead,Q9626,Conservative Party (UK),17711,Q918375,General election 1931,1
Q15999385,John Thompson,Q622441,Liberal Party (UK),12440,Q918375,General election 1931,2
Q4773152,Anthony Muirhead,Q9626,Unionist Party (UK),13026,Q517639,General election 1929,1
Q4799090,Arthur Hobhouse,Q622441,Liberal Party (UK),12382,Q517639,General election 1929,2
,R. D. Q. Davies,Q9630,Labour Party (UK),4472,Q517639,General election 1929,3
Q7349560,Robert Sanders,Q9626,Unionist Party (UK),12642,Q2632991,General election 1924,1
Q4799090,Arthur Hobhouse,Q622441,Liberal Party (UK),8668,Q2632991,General election 1924,2
,Wilfred Thomas Young,Q9630,Labour Party (UK),2726,Q2632991,General election 1924,3
Q4799090,Arthur Hobhouse,Q622441,Liberal Party (UK),10818,Q3084294,General election 6 December 1923,1
Q7342465,Robert Bruford,Q9626,Unionist Party (UK),9909,Q3084294,General election 6 December 1923,2
,Charles Henry Whitlow,Q9630,Labour Party (UK),1713,Q3084294,General election 6 December 1923,3
Q7342465,Robert Bruford,Q9626,Unionist Party (UK),10210,Q3084303,General election 1922,1
Q4799090,Arthur Hobhouse,Q622441,Liberal Party (UK),7156,Q3084303,General election 1922,2
Q56253455,Len Smith,Q9630,Labour Party (UK),4048,Q3084303,General election 1922,3
Q7528646,Richard Paget,Q9626,Conservative Party (UK),4200,Q3397257,General election 1885,1
Q7130550,Pandeli Ralli,Q622441,Liberal Party (UK),3335,Q3397257,General election 1885,2
Q7528646,Richard Paget,Q9626,Conservative Party (UK),4335,Q7888018,General election 1892,1
,Beaumont Morice,Q622441,Liberal Party (UK),3395,Q7888018,General election 1892,2
Q13529955,Hylton Jolliffe,Q9626,Conservative Party (UK),4696,Q7888019,General election 1895,1
